Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
modDyeInvisibleDesc,item_modifiers,mod,,,"Use this dye to render the worn item invisible. This offers a way to control your cosmetic apperance to your desires.\n\nFor example, place this in your helmet, and you will see your head!\n\nOnly works on worn items.",,,,,,,,,,,,,,
modDyeInvisibleBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Invisible (Bundled)",,,,,,,,,,,,,,
smallEngineBundle,items,Item,,,"[DECEA3]Engine [ffffff]Stacks",,,,,,,,,,,,,,
perkLivingOffTheLandRank3LongDesc,progression,perk For,,,"Triple the harvest of wild or planted crops.\n\n[DECEA3]You may craft bee flowers to harvest honey and chicken feed to harvest eggs and feathers.",,,,,,,,,,,,,,
beeFlower,blocks,Block,,,"[DECEA3]Seed[ffffff] Bee Hive Flower",,,,,,,,,,,,,,
beeFlowerdesc,blocks,Farming,,,"Functions just like other seeds. Plant this [DECEA3]Bee Hive Flower[ffffff] in a farming plot and wait for it to grow into a [DECEA3]Bee Hive Abandoned[ffffff]. Then harvest it for honey!",,,,,,,,,,,,,,
beeHive,blocks,Farming,,,"[DECEA3]Harvest[ffffff] Bee Hive Abandoned",,,,,,,,,,,,,,
beeHivedesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Bee Hive Abandoned",,,,,,,,,,,,,,
beeLog,blocks,Block,,,"[DECEA3]Growing[ffffff] Bee Hive Buzzing",,,,,,,,,,,,,,
birdsNestEmpty,blocks,Block,,,"[DECEA3]Seed[ffffff] Chicken Feed",,,,,,,,,,,,,,
birdsNestEmptydesc,blocks,Farming,,,"Functions just like mushroom seeds. Place down a bag of [DECEA3]Chicken Feed[ffffff] anywhere and wait for it to grow into a [DECEA3]Birdnest Full[ffffff]. Then harvest it for eggs and feathers!",,,,,,,,,,,,,,
birdsNestFulldesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Birdnest Full",,,,,,,,,,,,,,
birdsNestLaying,blocks,Block,,,"[DECEA3]Growing[ffffff] More Chicken Feed",,,,,,,,,,,,,,
plantedAloe1,blocks,Block,,,"[DECEA3]Seed[ffffff] Aloe Vera",,,,,,,,,,,,,,
plantedAloe2,blocks,Block,,,"[DECEA3]Growing[ffffff] Aloe Vera",,,,,,,,,,,,,,
plantedAloe3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Aloe Vera",,,,,,,,,,,,,,
plantedBlueberry1,blocks,Block,,,"[DECEA3]Seed[ffffff] Blueberry",,,,,,,,,,,,,,
plantedBlueberry2,blocks,Block,,,"[DECEA3]Growing[ffffff] Blueberry",,,,,,,,,,,,,,
plantedBlueberry3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Blueberry",,,,,,,,,,,,,,
plantedChrysanthemum1,blocks,Block,,,"[DECEA3]Seed[ffffff] Chrysanthemum",,,,,,,,,,,,,,
plantedChrysanthemum2,blocks,Block,,,"[DECEA3]Growing[ffffff] Chrysanthemum",,,,,,,,,,,,,,
plantedChrysanthemum3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Chrysanthemum",,,,,,,,,,,,,,
plantedCoffee1,blocks,Block,,,"[DECEA3]Seed[ffffff] Coffee",,,,,,,,,,,,,,
plantedCoffee2,blocks,Block,,,"[DECEA3]Growing[ffffff] Coffee",,,,,,,,,,,,,,
plantedCoffee3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Coffee",,,,,,,,,,,,,,
plantedCorn1,blocks,Block,,,"[DECEA3]Seed[ffffff] Corn",,,,,,,,,,,,,,
plantedCorn2,blocks,Block,,,"[DECEA3]Growing[ffffff] Corn",,,,,,,,,,,,,,
plantedCorn3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Corn",,,,,,,,,,,,,,
plantedCotton1,blocks,Block,,,"[DECEA3]Seed[ffffff] Cotton",,,,,,,,,,,,,,
plantedCotton2,blocks,Block,,,"[DECEA3]Growing[ffffff] Cotton",,,,,,,,,,,,,,
plantedCotton3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Cotton",,,,,,,,,,,,,,
plantedGoldenrod1,blocks,Block,,,"[DECEA3]Seed[ffffff] Goldenrod Flower",,,,,,,,,,,,,,
plantedGoldenrod2,blocks,Block,,,"[DECEA3]Growing[ffffff] Goldenrod Flower",,,,,,,,,,,,,,
plantedGoldenrod3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Goldenrod Flower",,,,,,,,,,,,,,
plantedGraceCorn1,blocks,Block,,,"[DECEA3]Seed[ffffff] Super Corn",,,,,,,,,,,,,,
plantedGraceCorn2,blocks,Block,,,"[DECEA3]Growing[ffffff] Super Corn",,,,,,,,,,,,,,
plantedGraceCorn3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Super Corn",,,,,,,,,,,,,,
plantedHop1,blocks,Block,,,"[DECEA3]Seed[ffffff] Hops Flower",,,,,,,,,,,,,,
plantedHop2,blocks,Block,,,"[DECEA3]Growing[ffffff] Hops Flower",,,,,,,,,,,,,,
plantedHop3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Hops Flower",,,,,,,,,,,,,,
plantedMushroom1,blocks,Block,,,"[DECEA3]Seed[ffffff] Mushroom Spores",,,,,,,,,,,,,,
plantedMushroom2,blocks,Block,,,"[DECEA3]Growing[ffffff] Mushroom Spores",,,,,,,,,,,,,,
plantedMushroom3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Mushroom Spores",,,,,,,,,,,,,,
plantedPotato1,blocks,Block,,,"[DECEA3]Seed[ffffff] Potato",,,,,,,,,,,,,,
plantedPotato2,blocks,Block,,,"[DECEA3]Growing[ffffff] Potato",,,,,,,,,,,,,,
plantedPotato3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Potato",,,,,,,,,,,,,,
plantedPumpkin1,blocks,Block,,,"[DECEA3]Seed[ffffff] Pumpkin",,,,,,,,,,,,,,
plantedPumpkin2,blocks,Block,,,"[DECEA3]Growing[ffffff] Pumpkin",,,,,,,,,,,,,,
plantedPumpkin3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Pumpkin",,,,,,,,,,,,,,
plantedSnowberry1,blocks,Block,,,"[DECEA3]Seed[ffffff] Snowberry",,,,,,,,,,,,,,
plantedSnowberry3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Snowberry",,,,,,,,,,,,,,
plantedYucca1,blocks,Block,,,"[DECEA3]Seed[ffffff] Yucca Fruit",,,,,,,,,,,,,,
plantedYucca2,blocks,Block,,,"[DECEA3]Growing[ffffff] Yucca Fruit",,,,,,,,,,,,,,
plantedYucca3HarvestDesc,blocks,Block,,,"[DECEA3]Harvest[ffffff] Yucca Fruit",,,,,,,,,,,,,,
modArmorBandolier,item_modifiers,mod,,,"[DECEA3]Mod-Armor(chest/legs)[ffffff] Bandolier",,,,,,,,,,,,,,
modArmorImpactBracing,item_modifiers,mod,,,"[DECEA3]Mod-Armor(feet)[ffffff] Impact Bracing",,,,,,,,,,,,,,
modArmorWaterPurifier,item_modifiers,mod,,,"[DECEA3]Mod-Armor(helmet)[ffffff] Water Purifier",,,,,,,,,,,,,,
modArmorHelmetLight,item_modifiers,mod,,,"[DECEA3]Mod-Armor(helmet/chest)[ffffff] Light",,,,,,,,,,,,,,
modArmorHelmetNightvision,item_modifiers,mod,,,"[DECEA3]Mod-Armor(helmet/chest)[ffffff] Nightvision",,,,,,,,,,,,,,
modArmorAdvancedMuffledConnectors,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Adv. Muffled Connectors",,,,,,,,,,,,,,
modArmorPlatingReinforced,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Banded Plating",,,,,,,,,,,,,,
modArmorCoolingMesh,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Cooling Mesh",,,,,,,,,,,,,,
modArmorCustomizedFittings,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Customized Fittings",,,,,,,,,,,,,,
modArmorImprovedFittings,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Improved Fittings",,,,,,,,,,,,,,
modArmorInsulatedLiner,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Insulated Liner",,,,,,,,,,,,,,
modArmorMuffledConnectors,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Muffled Connectors",,,,,,,,,,,,,,
modArmorPlatingBasic,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Plating",,,,,,,,,,,,,,
modArmorStoragePocket,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Pocket x1",,,,,,,,,,,,,,
modArmorDoubleStoragePocket,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Pocket x2",,,,,,,,,,,,,,
modArmorTripleStoragePocket,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] Pocket x3",,,,,,,,,,,,,,
modClothingStoragePocket,item_modifiers,mod,,,"[DECEA3]Mod-Clothing[ffffff] Pocket x1",,,,,,,,,,,,,,
modClothingCargoStoragePocket,item_modifiers,mod,,,"[DECEA3]Mod-Clothing[ffffff] Pocket x2",,,,,,,,,,,,,,
modMeleeFiremansAxeMod,item_modifiers,mod,,,"[DECEA3]Mod-Melee(axes)[ffffff] Fireman's Axe",,,,,,,,,,,,,,
modMeleeClubBarbedWire,item_modifiers,mod,,,"[DECEA3]Mod-Melee(clubs)[ffffff] Barbed Wire",,,,,,,,,,,,,,
modMeleeClubMetalChain,item_modifiers,mod,,,"[DECEA3]Mod-Melee(clubs)[ffffff] Metal Chain",,,,,,,,,,,,,,
modMeleeClubMetalSpikes,item_modifiers,mod,,,"[DECEA3]Mod-Melee(clubs)[ffffff] Metal Spikes",,,,,,,,,,,,,,
modFuelTankLarge,item_modifiers,mod,,,"[DECEA3]Mod-Melee(motor tools)[ffffff] Fuel Tank, Large",,,,,,,,,,,,,,
modFuelTankSmall,item_modifiers,mod,,,"[DECEA3]Mod-Melee(motor tools)[ffffff] Fuel Tank, Small",,,,,,,,,,,,,,
modMeleeStunBatonRepulsor,item_modifiers,mod,,,"[DECEA3]Mod-Melee(stun batons)[ffffff] Repulsor",,,,,,,,,,,,,,
modMeleeErgonomicGrip,item_modifiers,mod,,,"[DECEA3]Mod-Melee/Ranged(archery)[ffffff] Ergonomic Grip",,,,,,,,,,,,,,
modMeleeStructuralBrace,item_modifiers,mod,,,"[DECEA3]Mod-Melee/Ranged(archery)[ffffff] Structural Brace",,,,,,,,,,,,,,
modGunMeleeBlessedMetal,item_modifiers,mod,,,"[DECEA3]Mod-Melee/Ranged[ffffff] Blessed Metal",,,,,,,,,,,,,,
modGunMeleeRadRemover,item_modifiers,mod,,,"[DECEA3]Mod-Melee/Ranged[ffffff] Rad Remover",,,,,,,,,,,,,,
modGunMeleeTheHunter,item_modifiers,mod,,,"[DECEA3]Mod-Melee/Ranged[ffffff] The Hunter",,,,,,,,,,,,,,
modMeleeBunkerBuster,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Bunker Buster",,,,,,,,,,,,,,
modMeleeClubBurningShaft,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Burning Shaft",,,,,,,,,,,,,,
modMeleeDiamondTip,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Diamond Blade Tip",,,,,,,,,,,,,,
modMeleeFortifyingGrip,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Fortifying Grip",,,,,,,,,,,,,,
modMeleeGraveDigger,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Grave Digger",,,,,,,,,,,,,,
modMeleeIronBreaker,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Iron Breaker",,,,,,,,,,,,,,
modMeleeSerratedBlade,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Serrated Blade",,,,,,,,,,,,,,
modMeleeTemperedBlade,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Tempered Blade",,,,,,,,,,,,,,
modMeleeWeightedHead,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Weighted Head",,,,,,,,,,,,,,
modMeleeWoodSplitter,item_modifiers,mod,,,"[DECEA3]Mod-Melee[ffffff] Wood Splitter",,,,,,,,,,,,,,
modGunBowPolymerString,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(archery)[ffffff] Polymer String",,,,,,,,,,,,,,
modGunBowArrowRest,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(archery-bows)[ffffff] Arrow Rest",,,,,,,,,,,,,,
modGunBarrelExtender,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(barrel)[ffffff] Extender",,,,,,,,,,,,,,
modGunMuzzleBrake,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(barrel)[ffffff] Muzzle Brake",,,,,,,,,,,,,,
modGunSoundSuppressorSilencer,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(barrel)[ffffff] Silencer",,,,,,,,,,,,,,
modGunChoke,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(barrel-shotguns/turrets)[ffffff] Choke",,,,,,,,,,,,,,
modGunDuckbill,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(barrel-shotguns/turrets)[ffffff] Duckbill",,,,,,,,,,,,,,
modShotgunSawedOffBarrel,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(barrel-shotguns-not double)[ffffff] Sawed-Off",,,,,,,,,,,,,,
modGunDrumMagazineExtender,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(magazine)[ffffff] Drum",,,,,,,,,,,,,,
modGunMagazineExtender,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(magazine)[ffffff] Extender",,,,,,,,,,,,,,
modGunShotgunTubeExtenderMagazine,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(magazine-pumped shotgun)[ffffff] Tube Extender",,,,,,,,,,,,,,
modGunScopeSmall,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(scope)[ffffff] 2x",,,,,,,,,,,,,,
modGunScopeMedium,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(scope)[ffffff] 4x",,,,,,,,,,,,,,
modGunScopeLarge,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(scope)[ffffff] 8x",,,,,,,,,,,,,,
modGunReflexSight,item_modifiers,mod,,,"[DECEA3]Mod-Ranged(scope)[ffffff] Reflect Sight",,,,,,,,,,,,,,
modGunBipod,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Bipod",,,,,,,,,,,,,,
modGunCrippleEm,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Cripple 'Em",,,,,,,,,,,,,,
modGunFlashlight,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Flashlight",,,,,,,,,,,,,,
modGunForegrip,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Fore Grip",,,,,,,,,,,,,,
modGunLaserSight,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Laser Sight",,,,,,,,,,,,,,
modGunRetractingStock,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Retracting Stock",,,,,,,,,,,,,,
modGunTriggerGroupBurst3,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Trigger-Burst",,,,,,,,,,,,,,
modGunTriggerGroupAutomatic,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Trigger-Full Auto",,,,,,,,,,,,,,
modGunTriggerGroupSemi,item_modifiers,mod,,,"[DECEA3]Mod-Ranged[ffffff] Trigger-Semi",,,,,,,,,,,,,,
thrownAmmoMolotovCocktail,items,Item,,,"[DECEA3]Molotov Cocktail[ffffff] Ammo",,,,,,,,,,,,,,
thrownAmmoPipeBomb,items,Item,,,"[DECEA3]Pipe Bomb[ffffff] Ammo",,,,,,,,,,,,,,
schematicsCollectionsDesc,items,Item,,,"[DECEA3]Reading this will unlock all schematics associated with its label.",,,,,,,,,,,,,,
ammoRocketFrag,items,Item,,,"[DECEA3]Rocket Frag[ffffff] Ammo",,,,,,,,,,,,,,
ammoRocketHE,items,Item,,,"[DECEA3]Rocket HE[ffffff] Ammo",,,,,,,,,,,,,,
thrownDynamite,items,Item,,,"[DECEA3]Stick of Dynamite[ffffff] Ammo",,,,,,,,,,,,,,
thrownTimedCharge,items,Item,,,"[DECEA3]Timed Charge[ffffff] Ammo",,,,,,,,,,,,,,
modArmorHelmetLightDesc,item_modifiers,mod,,,"A light source that can be installed into any head or chest armor. Use your Light Source action (F) to activate.",,,,,,,,,,,,,,
bookCompleteCollection,items,perk  book,,,"Encyclopedia",,,,,,,,,,,,,,
resourceWood10min,items,Item,,,"Fire Wood - 10 Min Stack",,,,,,,,,,,,,,
resourceWood60min,items,Item,,,"Fire Wood - 60 Min Stack",,,,,,,,,,,,,,
modArmorHelmetNightvisionDesc,item_modifiers,mod,,,"Nightvision Goggles that can be installed into any head or chest armor. Use your Light Source action (F) to activate.",,,,,,,,,,,,,,
dAmmodesc,items,Item,,,"Open this package to receive parts used to create the ammo.",,,,,,,,,,,,,,
bookCompleteCollectionDesc,items,perk  book,,,"Reading this unlocks ALL books, as someone went through the time and effort to put all the information into one collection.",,,,,,,,,,,,,,
bookTechJunkie8Complete,progression,perk  book,,,"Tech Junkie - Completion",,,,,,,,,,,,,,
perkhuntingjournalcomplete,progression,perk  book,,,"The Hunter's Journal - Completion",,,,,,,,,,,,,,
meleeMurderAxedesc,items,Item,,,"This axe is designed to swing like a sledehammer and lob off multiple heads in a single strike! \nAdvances with Deep Cuts Perks.\n Can also butcher equally along with other butchering tools.",,,,,,,,,,,,,,
resourceWood10mindesc,items,Item,,,"This fire wood burns for 10 minutes each in a campfire, forge, and chemistry station!",,,,,,,,,,,,,,
resourceWood60mindesc,items,Item,,,"This fire wood burns for 60 minutes each in a campfire, forge, and chemistry station!",,,,,,,,,,,,,,
bookFullCollectionDesc,items,perk  book,,,"This full collection holds volumes 1-7 of the book.",,,,,,,,,,,,,,
perkwastetreasurescomplete,progression,perk  book,,,"Wasteland Treasures - Completion",,,,,,,,,,,,,,
perkTurretsRank5LongDesc,progression,perk Int,,,"You are now a top expert in robotics. Reload robot weapons 20% faster. Robot active range is 18 meters.\nTwo deployed robots can be active at once.\n\n[DECEA3]Magazine now holds an additional 250 rounds.",,,,,,,,,,,,,,
perkTurretsRank2LongDesc,progression,perk Int,,,"You are taking your projects to the next level now. Craft fair quality 3 robots, deal 20% more damage, and 60% faster fire rate. Robot active range is 15 meters.\n\n[DECEA3]Magazine now holds an additional 100 rounds.",,,,,,,,,,,,,,
perkTurretsRank3LongDesc,progression,perk Int,,,"You have mastered the basics of automated weaponry. Craft good quality 4 robotics, deal 30% more damage, and 90% faster fire rate. Robot active range is 16 meters.\n\n[DECEA3]Magazine now holds an additional 150 rounds.",,,,,,,,,,,,,,
perkTurretsRank1LongDesc,progression,perk Int,,,"You have some crazy innovative ideas but your implementation could use some work. Craft poor quality 2 robots, deal 10% more damage, and 30% faster fire rate. Robot active range is increased from 10 to 14 meters.\nYou can deploy multiple robots but only the closest will be active.\nUnlocks Robotic Sledge crafting.\n\n[DECEA3]Magazine now holds an additional 50 rounds.",,,,,,,,,,,,,,
perkTurretsRank4LongDesc,progression,perk Int,,,"You must be from the year 2077. You are creating some futuristic technology. Craft great quality 5 robots, deal 40% more damage, and 120% faster fire rate. Reload robot weapons 10% faster. Robot active range is 17 meters.\n\n[DECEA3]Magazine now holds an additional 200 rounds.",,,,,,,,,,,,,,
bookArtOfMiningCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Art of Mining,,,,,,,,,,,,,,
bookAutoWeaponsCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Automatic Weapons,,,,,,,,,,,,,,
bookBarBrawlingCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Bar Brawling,,,,,,,,,,,,,,
bookBatterUpCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Batter Up,,,,,,,,,,,,,,
bookEnforcerCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Enforcer,,,,,,,,,,,,,,
bookFiremansAlmanacCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Firemans Almanac,,,,,,,,,,,,,,
bookGreatHeistCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Great Heist,,,,,,,,,,,,,,
bookHuntingJournalCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Hunting Journal,,,,,,,,,,,,,,
bookLuckyLooterCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Luck Looter,,,,,,,,,,,,,,
bookNeedleAndThreadCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Needle and Thread,,,,,,,,,,,,,,
bookNightStalkerCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Night Stalker,,,,,,,,,,,,,,
bookPistolPeteCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Pistol Pete,,,,,,,,,,,,,,
bookRangersCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Rangers,,,,,,,,,,,,,,
bookShotgunMessiahCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Shotgun Messiah,,,,,,,,,,,,,,
bookSniperCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Sniper,,,,,,,,,,,,,,
bookSpearHunterCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Spear Hunter,,,,,,,,,,,,,,
bookTechJunkieCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Tech Junkie,,,,,,,,,,,,,,
bookUrbanCombatCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Urban Combat,,,,,,,,,,,,,,
bookWasteTreasuresCollection,items,perk  book,,,[DECEA3]Complete Collection: [ffffff]Wasteland Treasures,,,,,,,,,,,,,,
resourceCropAloeLeaf,items,Farming,,,[DECEA3]Crop:[ffffff] Aloe Leaf,,,,,,,,,,,,,,
foodCropBlueberries,items,Farming,,,[DECEA3]Crop:[ffffff] Blueberries,,,,,,,,,,,,,,
resourceCropChrysanthemumPlant,items,Farming,,,[DECEA3]Crop:[ffffff] Chrysanthemum,,,,,,,,,,,,,,
resourceCropCoffeeBeans,items,Farming,,,[DECEA3]Crop:[ffffff] Coffee Beans,,,,,,,,,,,,,,
foodCropCorn,items,Farming,,,[DECEA3]Crop:[ffffff] Corn,,,,,,,,,,,,,,
resourceCropCottonPlant,items,Farming,,,[DECEA3]Crop:[ffffff] Cotton,,,,,,,,,,,,,,
resourceCropGoldenrodPlant,items,Farming,,,[DECEA3]Crop:[ffffff] Goldenrod Flower,,,,,,,,,,,,,,
resourceCropHopsFlower,items,Farming,,,[DECEA3]Crop:[ffffff] Hops Flower,,,,,,,,,,,,,,
foodCropMushrooms,items,Farming,,,[DECEA3]Crop:[ffffff] Mushrooms,,,,,,,,,,,,,,
foodCropPotato,items,Farming,,,[DECEA3]Crop:[ffffff] Potato,,,,,,,,,,,,,,
foodCropPumpkin,items,Farming,,,[DECEA3]Crop:[ffffff] Pumpkin,,,,,,,,,,,,,,
resourceCropSnowberryPlant,items,Farming,,,[DECEA3]Crop:[ffffff] Snowberry,,,,,,,,,,,,,,
foodCropGraceCorn,items,Farming,,,[DECEA3]Crop:[ffffff] Super Corn,,,,,,,,,,,,,,
foodCropYuccaFruit,items,Farming,,,[DECEA3]Crop:[ffffff] Yucca Fruit,,,,,,,,,,,,,,
