Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
zombieMaleHazmatFeral,entityclasses,Entity,,,Feral Dustin,,Wilder Dustin
zombieMaleHazmatRadiated,entityclasses,Entity,,,Radiated Dustin,,Verstrahlter Dustin

zombieMarlene,entityclasses,Entity,,,Maggie,,Maggie
zombieMarleneFeral,entityclasses,Entity,,,Feral Maggie,,Wilde Maggie
zombieMarleneRadiated,entityclasses,Entity,,,Radiated Maggie,,Verstrahlte Maggie





zombieYo,entityclasses,Entity,,,Shrader,,Shrader
zombieYoFeral,entityclasses,Entity,,,Feral Shrader,,Wilder Shrader
zombieYoRadiated,entityclasses,Entity,,,Radiated Shrader,,Verstrahlter Shrader

zombieSteve,entityclasses,Entity,,,JR,,JR
zombieSteveFeral,entityclasses,Entity,,,Feral JR,,Wilder JR
zombieSteveRadiated,entityclasses,Entity,,,Radiated JR,,Verstrahlter JR

zombieSteveCrawler,entityclasses,Entity,,,Leah,,Leah
zombieSteveCrawlerFeral,entityclasses,Entity,,,Feral Leah,,Wilder Leah
zombieSteveCrawlerRadiated,entityclasses,Entity,,,Radiated Leah,,Verstrahlter Leah

zombieTomClark,entityclasses,Entity,,,Lance,,Lance
zombieTomClarkFeral,entityclasses,Entity,,,Feral Lance,,Wilder Lance
zombieTomClarkRadiated,entityclasses,Entity,,,Radiated Lance,,Verstrahlter Lance

zombieScreamer,entityclasses,Entity,,,Ariel,,Ariel
zombieScreamerFeral,entityclasses,Entity,,,Feral Ariel,,Wilder Ariel
zombieScreamerRadiated,entityclasses,Entity,,,Radiated Ariel,,Verstrahlter Ariel

zombieSkateboarder,entityclasses,Entity,,,Green Matt,,Green Matt
zombieSkateboarderFeral,entityclasses,Entity,,,Feral Green Matt,,Wilder Green Matt
zombieSkateboarderRadiated,entityclasses,Entity,,,Radiated Green Matt,,Verstrahlter Green Matt

zombieSoldier,entityclasses,Entity,,,BroJosh,,BroJosh
zombieSoldierFeral,entityclasses,Entity,,,Feral BroJosh,,Wilder BroJosh
zombieSoldierRadiated,entityclasses,Entity,,,Radiated BroJosh,,Verstrahlter BroJosh

zombieNurse,entityclasses,Entity,,,Christa,,Christa
zombieNurseFeral,entityclasses,Entity,,,Feral Christa,,Wilde Christa
zombieNurseRadiated,entityclasses,Entity,,,Radiated Christa,,Verstrahlte Christa

zombieMoe,entityclasses,Entity,,,Aaron,,Aaron
zombieMoeFeral,entityclasses,Entity,,,Feral Aaron,,Wilder Aaron
zombieMoeRadiated,entityclasses,Entity,,,Radiated Aaron,,Verstrahlter Aaron

zombieFatCop,entityclasses,Entity,,,Scott,,Scott
zombieFatCopFeral,entityclasses,Entity,,,Feral Scott,,Wilder Scott
zombieFatCopRadiated,entityclasses,Entity,,,Radiated Scott,,Verstrahlter Scott

zombieFatHawaiian,entityclasses,Entity,,,Lee,,Lee
zombieFatHawaiianFeral,entityclasses,Entity,,,Feral Lee,,Wilder Lee
zombieFatHawaiianRadiated,entityclasses,Entity,,,Radiated Lee,,Verstrahlter Lee

zombieFemaleFat,entityclasses,Entity,,,Very Nice Lady,,Big Mama
zombieFemaleFatFeral,entityclasses,Entity,,,Feral Very Nice Lady,,Wilde Big Mama
zombieFemaleFatRadiated,entityclasses,Entity,,,Radiated Very Nice Lady,,Verstrahlte Big Mama

zombieJanitor,entityclasses,Entity,,,Corwin,,Corwin
zombieJanitorFeral,entityclasses,Entity,,,Feral Corwin,,Wilder Corwin

zombieArlene,entityclasses,Entity,,,Kathy,,Kathy
zombieArleneFeral,entityclasses,Entity,,,Feral Kathy,,Wilde Kathy
zombieArleneRadiated,entityclasses,Entity,,,Radiated Kathy,,Verstrahlte Kathy

zombieBiker,entityclasses,Entity,,,Breadcrumb,,Breadcrumb
zombieBikerFeral,entityclasses,Entity,,,Feral Breadcrumb,,Wilder Breadcrumb
zombieBikerRadiated,entityclasses,Entity,,,Radiated Breadcrumb,,Verstrahlter Breadcrumb
